PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,1930715000,5271 N TEUTONIA AV,,1,1160,Cape Cod,Aluminum / Vinyl,1,1940,0,1206,1,3,1,0,5880,2012-01,35000
Residential,2081312000,5138 N 40TH ST,,1,1440,Ranch,Aluminum / Vinyl,1,1952,0,908,1,2,1,0,3270,2012-01,34507
Residential,2260831000,4463 N 66TH ST,,2,1490,Cape Cod,Brick,1,1953,0,1512,1,3,2,0,5250,2012-01,112900
Residential,2120137000,7009 W VILLARD AV,,2,1380,Cape Cod,Aluminum / Vinyl,1,1956,0,1326,1,4,1,0,4800,2012-01,67000
Residential,1440202000,9131 W EDGEWATER DR,,2,480,Colonial,Aluminum / Vinyl,2,2003,0,1991,1,4,2,1,21571,2012-01,194800
Residential,2130327000,5046 N 83RD ST,,2,1400,Ranch,Aluminum / Vinyl,1,1955,0,1247,1,4,1,1,6480,2012-01,88950
Residential,1770077000,5741 N 89TH ST,,2,1020,Ranch,Aluminum / Vinyl,1,1963,0,1151,1,3,2,0,7860,2012-01,99000
Residential,2110531000,4912 N 67TH ST,,2,1380,Ranch,Brick,1,1957,0,1148,1,3,2,0,4800,2012-01,63000
Residential,2110437000,5000 N 65TH ST,,2,1380,Ranch,Brick,1,1956,0,1144,1,2,2,0,4920,2012-01,68000
Residential,2250070000,4533 N 73RD ST,,2,1480,Ranch,Masonry / Frame,1,1948,0,1032,1,3,1,0,5400,2012-01,89000
Residential,2510148000,4151 N 73RD ST,,2,1480,Ranch,Brick,1,1950,0,794,1,2,1,0,4800,2012-01,62000
Residential,1450738000,6522 N 107TH ST,,2,820,Townhouse,Aluminum / Vinyl,2,1981,0,2402,2,6,2,2,8820,2012-01,102500
Residential,3180042000,2450 N TERRACE AV,,3,3060,Colonial,Brick,2,1920,0,3212,1,5,4,1,5800,2012-01,610000
Residential,2810820000,3467 N HUMBOLDT BL,,3,3320,Dplx Bungalow,Brick,1.5,1925,0,2234,2,4,2,0,5400,2012-01,150000
Residential,3201661000,2400 N HUMBOLDT BL,,3,3330,Duplex O/S,Aluminum / Vinyl,2,1940,0,1872,2,4,2,1,2869,2012-01,149900
Residential,2780652000,3481 N SUMMIT AV,,3,3060,Residence O/S,Brick,2,1921,0,3346,1,4,2,1,7200,2012-01,580000
Residential,2780079000,3219 N SHEPARD AV,,3,3060,Residence O/S,Frame,2,1898,0,2492,1,5,2,1,4800,2012-01,280000
Residential,3031159000,7812 W LORRAINE PL,,5,2080,Cape Cod,Stone,1,1947,0,1442,1,3,1,1,5040,2012-01,142500
Residential,2620626000,3831 N 87TH ST,,5,2040,Cape Cod,Brick,1,1949,0,1338,1,3,2,0,7000,2012-01,113000
Residential,2241083000,4459 N HOUSTON AV,,5,1470,Cape Cod,Brick,1,1955,0,1221,1,4,2,1,6000,2012-01,82000
Residential,2630865000,8025 W KEEFE AV,,5,2040,Cape Cod,Brick,1,1950,0,1146,1,3,1,0,4800,2012-01,70000
Residential,2611190000,3521 N 98TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1,1953,0,693,1,2,1,0,5014,2012-01,62000
Residential,1840106000,10443 W BIRCH AV,,5,1040,Ranch,Aluminum / Vinyl,1,1957,0,1120,1,3,1,1,8400,2012-01,131000
Residential,2530316000,4108 N 88TH ST,,5,1460,Ranch,Brick,1,1956,0,1031,1,3,2,0,6624,2012-01,115000
Residential,3220947100,2635 N VEL R PHILLIPS AV,,6,2920,Cottage,Frame,1,1890,0,1722,1,2,1,0,10500,2012-01,30000
Residential,3230440000,2656 N 7TH ST,,6,2920,Duplex O/S,Aluminum / Vinyl,2,1890,0,2288,2,5,2,0,6000,2012-01,42000
Residential,3211543000,2506 N BUFFUM ST,,6,2920,Residence O/S,Aluminum / Vinyl,1,1890,0,1476,1,4,1,0,3120,2012-01,29000
Residential,2681540000,3852 N 42ND ST,,7,1740,Cape Cod,Stone,1.5,1936,0,1775,1,4,3,0,4797,2012-01,119000
Residential,2660606000,3520 N 57TH ST,,7,1830,Cape Cod,Brick,1,1947,0,1561,1,3,2,0,4551,2012-01,89000
Residential,2880010000,3409 N 45TH ST,,7,1840,Colonial,Masonry / Frame,2,1926,0,1532,1,3,1,1,4800,2012-01,89900
Residential,3070406000,2962 N 51ST ST,,7,2510,Milwaukee Bungalow,Aluminum / Vinyl,1,1925,0,1596,1,3,2,0,5160,2012-01,105000
Residential,4590024000,2117 W ORCHARD ST,,8,4100,Cottage,Aluminum / Vinyl,1,1890,0,1268,1,4,1,0,4280,2012-01,31500
Residential,4350768000,1032 S 31ST ST,,8,4060,Milwaukee Bungalow,Aluminum / Vinyl,1,1922,0,1138,1,3,1,0,3270,2012-01,50000
Residential,4580826000,2044 S 32ND ST,,8,4000,Residence O/S,Aluminum / Vinyl,1,1913,0,1549,1,4,1,0,5760,2012-01,92000
Residential,4360265000,1004 S 37TH ST,,8,4060,Residence O/S,Aluminum / Vinyl,1.5,1907,0,1398,1,3,2,0,3570,2012-01,92000
Residential,810025000,7837 N 76TH ST,,9,240,Cape Cod,Aluminum / Vinyl,1,1955,0,984,1,3,1,0,23700,2012-01,60000
Residential,1180004000,8218 W DENVER AV,,9,480,Colonial,Aluminum / Vinyl,2,1978,0,1347,1,4,1,1,9592,2012-01,128000
Residential,3051214000,2709 N 63RD ST,,10,1980,Cape Cod,Aluminum / Vinyl,1,1948,0,1170,1,4,1,1,5460,2012-01,87000
Residential,3060110000,3030 N 58TH ST,,10,1860,Dplx Bungalow,Aluminum / Vinyl,1.5,1924,0,1682,2,4,2,0,3840,2012-01,45000
Residential,4200202000,333 S 67TH ST,,10,2710,Duplex O/S,Aluminum / Vinyl,2,1930,0,1232,2,2,2,0,3720,2012-01,87500
Residential,4171124110,8615 W ADLER ST,,10,2710,Milwaukee Bungalow,Aluminum / Vinyl,1.5,1927,0,1929,1,4,3,0,6230,2012-01,132000
Residential,3680447000,1237 N 55TH ST,,10,2600,Milwaukee Bungalow,Aluminum / Vinyl,1,1927,0,1513,1,4,2,0,5760,2012-01,155000
Residential,4190573000,509 S 73RD ST,,10,2710,Milwaukee Bungalow,Aluminum / Vinyl,1,1926,0,1224,1,3,1,0,3660,2012-01,110000
Residential,3461538000,2160 N 56TH ST,,10,2540,Residence O/S,Aluminum / Vinyl,1.5,1913,0,2135,1,3,2,0,4520,2012-01,150000
Residential,4200235100,336 S 67TH ST,,10,2710,Residence O/S,Aluminum / Vinyl,1,1924,0,840,1,2,1,0,7192,2012-01,87000
Residential,5251371000,3280 S 93RD ST,,11,4350,Bi-Level,Frame,1,1971,0,2008,1,4,2,0,8060,2012-01,170000
Residential,4901209000,2616 S 65TH ST,,11,4240,Cape Cod,Brick,1,1954,0,1442,1,4,1,1,4900,2012-01,110000
