PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,4310204000,1100 S 4TH ST,,12,4020,AP 1,Frame,2,1880,0,3459,4,8,1,0,3500,2006-01,180000
Lg Apartment,2229991110,9729 W HAMPTON AV,24: 2-Br ,5,6969,Apartment: 24: 2-Br  Units,,2,1965,0,0,1,0,0,0,0,2006-01,1080000
Lg Apartment,5409990200,3170 S BRUST AV,"18: 1-Br ,12: 2-Br ",14,6979,"Apartment: 18: 1-Br ,12: 2-Br  Units",,2,1968,0,27384,1,0,0,0,0,2006-01,1600000
Lg Apartment,5391101100,3333 S CLEMENT AV,"37: 1-Br ,1: 2-Br ",14,6979,"Apartment: 37: 1-Br ,1: 2-Br  Units",,2,1974,0,27186,1,0,0,0,98712,2006-01,2350000
Commercial,4701215000,2301 W FOREST HOME AV,,8,6281,Auto & Auto Body Repair,,1,1964,0,2603,1,0,0,0,11835,2006-01,242500
Commercial,2680104000,3923 W CAPITOL DR,,7,6244,Laundry Pick-up Station,,1,1947,0,2542,1,0,0,0,3255,2006-01,60000
Commercial,3920955000,215 N WATER ST,,4,6296,Multi Story Warehouse,,5,1906,0,27530,1,0,0,0,5520,2006-01,1015919
Commercial,2930542100,9100 W BURLEIGH ST,,5,6226,Office Building - 1 Story,,1,1985,0,2461,1,0,0,0,14536,2006-01,272500
Commercial,3590806111,1442 N FARWELL AV,,3,6262,Office Building - Multi Story ( Ofc & Apt),,6,1966,0,37909,1,0,0,0,7455,2006-01,1900000
Commercial,3530217100,2201 N MARTIN L KING JR DR,,6,6266,Office Building - Multi Story ( Ofc & Apt),,2,1922,0,16650,1,0,0,0,11263,2006-01,625000
Commercial,5960061000,1232 W LAYTON AV,,13,6413,Quick Oil Change,,1,1957,0,2102,1,0,0,0,15663,2006-01,614800
Commercial,2070199000,5024 N 33RD ST,,1,6232,Residence With Commercial Usage,,1.5,1927,0,4423,1,0,0,0,10800,2006-01,35000
Commercial,1770701000,8758 W FOND DU LAC AV,,2,6212,Residence With Commercial Usage,,1.5,1920,0,1950,1,0,0,0,32802,2006-01,125500
Commercial,1110141000,10843 W PARK PL,,5,6440,Sit Down Restaurant,,1,2006,0,4990,1,0,0,0,65579,2006-01,590300
Commercial,3250004000,2229 W FOND DU LAC AV,,15,6256,"Store Bldg - Multi Story (Store & Apt, Store & O",,3,1928,0,11621,1,0,0,0,7500,2006-01,70000
Commercial,2640012100,3942 N 76TH ST,,10,6226,"Store Bldg - Multi Story (Store & Apt, Store & O",,1,1957,0,10000,1,0,0,0,14400,2006-01,417500
Commercial,2870787000,3900 W BURLEIGH ST,,7,6242,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1926,0,6148,1,0,0,0,4440,2006-01,60000
Commercial,3282121000,4630 W NORTH AV,,15,6254,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1922,0,5712,1,0,0,0,5160,2006-01,275000
Commercial,4331928000,1932 W GREENFIELD AV,,12,6277,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1902,0,4114,1,0,0,0,3637,2006-01,118000
Commercial,2120866000,7504 W HAMPTON AV,,2,6226,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1950,0,3000,1,0,0,0,4640,2006-01,150000
Commercial,4961901000,1625 W LINCOLN AV,,12,6281,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1894,0,2288,1,0,0,0,4920,2006-01,103000
Commercial,4970650000,2567 S 9TH PL,,14,6281,"Store Bldg - Multi Story (Store & Apt, Store & O",,1.5,1902,0,2167,1,0,0,0,3600,2006-01,130000
Commercial,4601304000,1446 S MUSKEGO AV,,12,6277,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1893,0,2000,1,0,0,0,3000,2006-01,62500
Commercial,3490957000,2826 W LISBON AV,,15,6254,Store Building - Multiple Tenants,,2,1923,0,3504,1,0,0,0,3630,2006-01,115000
Commercial,3540771000,816 E BRADY ST,,3,6264,Store Building - Multiple Tenants,,1,1880,0,1232,1,0,0,0,2500,2006-01,108000
Commercial,2081304100,3927 W VILLARD AV,,1,6232,"Store Building - Single tenant, 1 story",,1,1973,0,2500,1,0,0,0,7200,2006-01,50000
Commercial,3260502000,2577 N 30TH ST,,15,6242,Warehouse Building - 1 Story,,1,1927,0,24555,1,0,0,0,29142,2006-01,153000
Commercial,4311232000,725 S 1ST ST,,12,6275,Warehouse Building - 1 Story,,1,1953,0,3500,1,0,0,0,7405,2006-01,270000
Residential,3200820000,1631 E BELLEVIEW PL,,3,3190,AP 1,Stucco,2,1895,0,3208,4,5,1,0,3252,2006-02,343100
Residential,3230462200,2624 N 6TH ST,,6,2920,AP 1,Block,2,1956,0,1920,4,4,1,0,5250,2006-02,48000
Commercial,2620411000,8510 W LISBON AV,,5,6226,Beer Depot & Liquor Store,,2,1951,0,6823,1,0,0,0,9600,2006-02,350000
Commercial,3151203000,2853 N OAKLAND AV,,3,6262,Beer Depot & Liquor Store,,2,1913,0,5740,1,0,0,0,3600,2006-02,425000
