PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,2440132000,4349 N 18TH ST,,1,1620,Cape Cod,Stone,1,1935,0,1779,1,5,2,0,4797,2010-01,105000
Residential,1020212000,7404 N 42ND ST,,1,380,Ranch,Brick,1,1963,0,1529,1,3,1,1,13357,2010-01,145000
Residential,3180076000,2443 N TERRACE AV,,3,3060,Colonial,Brick,2,1902,0,4050,1,7,4,1,8700,2010-01,835000
Residential,3540756200,1713 N MARSHALL ST,,3,3240,Duplex O/S,Aluminum / Vinyl,2,1896,0,2644,2,5,2,0,2800,2010-01,179000
Residential,3180029000,2604 N TERRACE AV,,3,3060,Mansion,Masonry / Frame,2,1901,0,4899,1,5,5,1,7020,2010-01,919400
Residential,3160207000,3002 N PROSPECT AV,,3,3160,Residence O/S,Brick,2,1910,0,2694,1,5,2,0,4080,2010-01,239000
Residential,3160822000,2910 N CRAMER ST,,3,3160,Residence O/S,Stucco,2,1908,0,2582,1,3,2,0,4800,2010-01,297925
Residential,2530946000,4223 N 85TH ST,,5,1460,Cape Cod,Brick,1,1957,0,2735,1,5,2,2,5386,2010-01,224820
Residential,3030326000,2930 N 78TH ST,,5,2080,Cape Cod,Stucco,1,1946,0,1134,1,3,1,0,5040,2010-01,151000
Residential,3030892000,2855 N 79TH ST,,5,2080,Cape Cod,Aluminum / Vinyl,1,1948,0,1048,1,2,1,1,5120,2010-01,138000
Residential,2530602000,4306 N 89TH ST,,5,1460,Cape Cod,Aluminum / Vinyl,1,1952,0,1008,1,3,1,0,5400,2010-01,81000
Residential,3330101000,8833 W CENTER ST,,5,2080,Duplex N/S,Stone,2,1947,0,2430,2,4,2,0,4800,2010-01,177500
Residential,2530248000,4042 N 90TH ST,,5,1460,Ranch,Brick,1,1958,0,1404,1,3,1,1,5080,2010-01,122500
Residential,2920932000,7815 W KEEFE AV,,5,2040,Ranch,Aluminum / Vinyl,1,1952,0,1096,1,3,1,0,5152,2010-01,108500
Residential,3540138000,2140 N BUFFUM ST,,6,2910,Colonial,Aluminum / Vinyl,2,2004,0,2204,1,3,2,1,3600,2010-01,265000
Residential,2810618000,3412 N RICHARDS ST,,6,2900,Duplex O/S,Aluminum / Vinyl,2,1897,0,2025,2,6,2,0,3600,2010-01,60000
Residential,2712587000,3922 N 19TH PL,,6,2860,Duplex O/S,Frame,1.5,1913,0,1528,2,4,2,0,3750,2010-01,28000
Residential,2880969000,3134 N 50TH ST,,7,1840,Cape Cod,Stone,1,1936,0,1364,1,3,1,0,4800,2010-01,94800
Residential,2660431000,3719 N 53RD ST,,7,1830,Colonial,Aluminum / Vinyl,2,1946,0,1456,1,3,1,1,4800,2010-01,100000
Residential,2670859000,3539 N 49TH ST,,7,1820,Milwaukee Bungalow,Brick,1,1929,0,1333,1,3,1,0,5160,2010-01,84900
