PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,1930452000,2701 W VILLARD AV,,1,1200,Cape Cod,Brick,1,1947,0,1359,1,4,1,0,5060,2015-01,47000
Residential,1719831000,5640 N 37TH ST,,1,900,Cape Cod,Brick,1,1953,0,1175,1,3,1,0,5760,2015-01,59900
Residential,2090364000,4725 W VILLARD AV,,1,1150,Duplex O/S,Aluminum / Vinyl,1.5,1914,0,1921,2,5,2,1,10080,2015-01,56000
Residential,1930239000,5543 N 33RD ST,,1,1160,Milwaukee Bungalow,Brick,1,1928,0,1791,1,4,2,0,4200,2015-01,35000
Residential,1940133000,2227 W LAWN AV,,1,1200,Ranch,Aluminum / Vinyl,1,1955,0,1082,1,3,1,0,6000,2015-01,70500
Residential,2320311000,4681 N GREEN BAY AV,,1,1340,Ranch,Brick,1,1950,0,994,1,2,1,1,5880,2015-01,84000
Residential,2110558000,5048 N 68TH ST,,2,1380,Cape Cod,Brick,1,1956,0,1196,1,3,1,0,4920,2015-01,78000
Residential,2260299000,6216 W LEON TR,,2,1490,Ranch,Aluminum / Vinyl,1,1958,0,1206,1,3,2,0,4800,2015-01,97000
Residential,1450726000,6402 N 107TH ST,,2,820,Townhouse,Aluminum / Vinyl,2,1980,0,2402,2,6,2,2,9598,2015-01,100000
Residential,1850610000,5404 N 92ND ST,,2,1020,Townhouse,Aluminum / Vinyl,2,1967,0,2178,2,6,2,2,6000,2015-01,65000
Residential,3160728000,2858 N MURRAY AV,,3,3160,Duplex O/S,Frame,2,1907,0,2578,2,6,2,0,4760,2015-01,230000
Residential,3180168000,2645 N SUMMIT AV,,3,3060,Residence O/S,Frame,2,1909,0,2596,1,4,2,1,8700,2015-01,465000
Residential,3180305000,2641 N LAKE DR,,3,3060,Residence O/S,Block,2,1904,0,2548,1,2,1,0,0,2015-01,975000
