PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,1230322000,7144 N 38TH ST,,1,600,Cape Cod,Aluminum / Vinyl,1.5,1959,0,1734,1,4,2,0,7000,2018-07,129000
Residential,1909905000,5346 N 52ND ST,,1,1140,Cape Cod,Brick,1,1951,0,1718,1,3,2,1,8100,2018-08,67000
Residential,2441200000,4155 N 13TH ST,,1,1620,Cape Cod,Brick,1.5,1938,0,1614,1,3,1,1,5040,2018-02,103000
Residential,1230292000,3832 W HELENA ST,,1,600,Cape Cod,Aluminum / Vinyl,1.5,1960,0,1582,1,4,2,0,6000,2018-03,150000
Residential,2080590000,4862 N 39TH ST,,1,1440,Cape Cod,Aluminum / Vinyl,1,1954,0,1556,1,4,2,1,4920,2018-03,89900
Residential,2060683000,4839 N 24TH PL,,1,1340,Cape Cod,Aluminum / Vinyl,1,1949,0,1455,1,3,1,0,5080,2018-07,83000
Residential,2320316000,4645 N GREEN BAY AV,,1,1340,Cape Cod,Stone,1,1948,0,1437,1,3,1,1,8820,2018-11,104000
Residential,1960126000,5517 N 11TH ST,,1,1220,Cape Cod,Brick,1,1951,0,1413,1,3,1,0,6750,2018-07,146200
Residential,1719596000,5964 N 39TH ST,,1,900,Cape Cod,Aluminum / Vinyl,1,1949,0,1411,1,4,1,1,5888,2018-05,70000
Residential,2061630000,4880 N 21ST ST,,1,1340,Cape Cod,Frame,1.5,1951,0,1409,1,5,2,0,4830,2018-05,89000
Residential,2080700000,4911 N 36TH ST,,1,1440,Cape Cod,Aluminum / Vinyl,1,1950,0,1386,1,4,1,0,5670,2018-01,44000
Residential,1910624000,5333 N 45TH ST,,1,1140,Cape Cod,Aluminum / Vinyl,1,1952,0,1384,1,3,2,0,5625,2018-07,49900
Residential,1910624000,5333 N 45TH ST,,1,1140,Cape Cod,Aluminum / Vinyl,1,1952,0,1384,1,3,2,0,5625,2018-09,107500
Residential,2081308000,5160 N 40TH ST,,1,1440,Cape Cod,Brick,1,1949,0,1381,1,4,1,1,4905,2018-12,75000
Residential,2320512000,4727 N PARKWAY AV,,1,1340,Cape Cod,Block,1.5,1945,0,1375,1,2,1,0,5280,2018-08,58500
Residential,1700020000,5936 N 35TH ST,,1,900,Cape Cod,Brick,1,1950,0,1358,1,3,1,0,6360,2018-05,91500
Residential,1020012100,4032 W PORTAGE ST,,1,380,Cape Cod,Aluminum / Vinyl,1,1954,0,1344,1,3,1,0,9120,2018-01,105000
Residential,2460236000,2701 W ROOSEVELT DR,,1,1500,Cape Cod,Brick,1,1948,0,1328,1,4,1,0,5175,2018-08,40000
Residential,1919803000,4535 W CUSTER AV,,1,1140,Cape Cod,Brick,1,1951,0,1308,1,3,1,1,6480,2018-10,61000
Residential,1960148000,5466 N 13TH ST,,1,1220,Cape Cod,Frame,1,1954,0,1305,1,3,2,0,6750,2018-09,146000
Residential,1950046000,1409 W CUSTER AV,,1,1200,Cape Cod,Aluminum / Vinyl,1,1954,0,1300,1,5,1,0,8540,2018-08,124000
Residential,1029952100,7576 N 43RD ST,,1,380,Cape Cod,Stone,1,1948,0,1248,1,3,1,1,8151,2018-02,79000
Residential,2090143000,4951 N 49TH ST,,1,1150,Cape Cod,Aluminum / Vinyl,1,1953,0,1248,1,3,2,0,6440,2018-05,86900
Residential,1690014110,5667 N 27TH ST,,1,1200,Cape Cod,Brick,1,1955,0,1239,1,4,2,0,5640,2018-09,109900
Residential,1379906300,6516 N 43RD ST,,1,560,Cape Cod,Aluminum / Vinyl,1,1939,0,1229,1,3,1,1,18209,2018-11,96900
Residential,1950303000,5571 N LONG ISLAND DR,,1,1200,Cape Cod,Frame,1,1954,0,1224,1,3,1,0,5265,2018-06,99900
Residential,1919901000,5309 N 47TH ST,,1,1140,Cape Cod,Aluminum / Vinyl,1,1954,0,1222,1,4,1,1,5376,2018-11,53000
Residential,2441190000,4196 N 15TH ST,,1,1620,Cape Cod,Brick,1,1951,0,1216,1,3,1,0,5658,2018-08,113000
Residential,2090005000,5151 N 49TH ST,,1,1150,Cape Cod,Aluminum / Vinyl,1.5,1940,0,1209,1,3,1,1,6250,2018-04,72500
Residential,1379994100,6411 N 42ND ST,,1,560,Cape Cod,Aluminum / Vinyl,1.5,1939,0,1198,1,2,1,1,5280,2018-11,64000
Residential,1900102000,5371 N 51ST BL,,1,1140,Cape Cod,Aluminum / Vinyl,1,1951,0,1195,1,4,1,0,6960,2018-01,68000
Residential,1921202000,5534 N HOPKINS ST,,1,1160,Cape Cod,Aluminum / Vinyl,1,1951,0,1195,1,3,1,0,4800,2018-05,33500
Residential,2451918000,2436 W ATKINSON AV,,1,1500,Cape Cod,Brick,1,1945,0,1150,1,4,1,0,5920,2018-10,61200
Residential,2320914000,4752 N 19TH PL,,1,1340,Cape Cod,Aluminum / Vinyl,1.5,1941,0,1109,1,3,1,1,5000,2018-08,54800
Residential,1589972100,6122 N 40TH ST,,1,900,Cape Cod,Stone,1,1952,0,1101,1,3,1,1,9541,2018-10,55000
Residential,1020028000,3906 W PORTAGE ST,,1,380,Cape Cod,Aluminum / Vinyl,1,1955,0,1096,1,3,1,1,11584,2018-07,115000
Residential,2080218000,4975 N HOPKINS ST,,1,1440,Cape Cod,Frame,1,1952,0,1095,1,4,1,0,6603,2018-07,59900
Residential,1719725000,5977 N 41ST ST,,1,900,Cape Cod,Frame,1,1946,0,1092,1,2,1,0,6674,2018-06,37500
Residential,1901402000,5438 N 53RD ST,,1,1140,Cape Cod,Aluminum / Vinyl,1,1951,0,1092,1,4,1,0,7020,2018-03,50000
Residential,2300680000,4476 N 28TH ST,,1,1500,Cape Cod,Block,1,1945,0,1092,1,4,1,0,4760,2018-10,37500
Residential,2320664000,4684 N 18TH ST,,1,1340,Cape Cod,Brick,1.5,1937,0,1078,1,2,1,1,6250,2018-11,73000
Residential,2081045000,4014 W HAMPTON AV,,1,1440,Cape Cod,Frame,1,1947,0,1068,1,3,1,0,3920,2018-08,70000
Residential,1700384000,2703 W ORIOLE DR,,1,900,Cape Cod,Aluminum / Vinyl,1,1936,0,1056,1,3,1,0,4880,2018-11,83000
Residential,1901927000,5434 W SHERIDAN AV,,1,1140,Cape Cod,Aluminum / Vinyl,1,1951,0,1036,1,3,1,0,6120,2018-01,93207
Residential,2081073000,4819 N 41ST ST,,1,1440,Cape Cod,Stone,1,1947,0,1036,1,2,1,1,3720,2018-12,55000
Residential,2081045000,4014 W HAMPTON AV,,1,1440,Cape Cod,Frame,1,1947,0,992,1,3,1,0,3920,2018-05,20000
Residential,1379947000,6623 N 40TH ST,,1,560,Cape Cod,Aluminum / Vinyl,1.5,1946,0,985,1,3,1,0,21780,2018-07,91000
Residential,1719723000,5969 N 41ST ST,,1,900,Cape Cod,Aluminum / Vinyl,1,1946,0,958,1,3,1,0,5680,2018-05,45000
Residential,1580138000,6099 N 35TH ST,,1,900,Cape Cod,Aluminum / Vinyl,1,1952,0,912,1,2,1,0,4800,2018-11,65000
Residential,1900905000,5346 N 54TH ST,,1,1140,Cape Cod,Aluminum / Vinyl,1,1939,0,899,1,2,1,0,8040,2018-08,40000
Residential,2320564000,4701 N 19TH PL,,1,1340,Cape Cod,Stone,1,1951,0,897,1,2,1,0,5360,2018-11,62000
Residential,1580101000,3533 W DOUGLAS AV,,1,900,Cape Cod,Aluminum / Vinyl,1,1952,0,895,1,3,1,0,5160,2018-01,50000
Residential,2310443000,4740 N 22ND ST,,1,1340,Cape Cod,Aluminum / Vinyl,1,1943,0,872,1,2,1,0,4800,2018-09,54900
Residential,1710432000,5716 N 41ST ST,,1,900,Cape Cod,Aluminum / Vinyl,1,1949,0,861,1,2,1,0,3600,2018-06,48000
Residential,2320452000,4246 N 14TH ST,,1,1620,Cape Cod,Brick,1,1950,0,846,1,2,1,0,5922,2018-11,83000
Residential,1900906000,5338 N 54TH ST,,1,1140,Cape Cod,Aluminum / Vinyl,1,1939,0,782,1,2,1,0,8040,2018-05,50000
Residential,1719880000,5958 N 36TH ST,,1,900,Cape Cod,Aluminum / Vinyl,1,1950,0,691,1,2,1,0,5016,2018-09,76000
Residential,1960115000,1129 W SILVER SPRING DR,,1,1220,Colonial,Block,2,1949,0,1664,1,3,2,1,7800,2018-08,178000
Residential,2452197000,2115 W ROOSEVELT DR,,1,1620,Colonial,Masonry / Frame,2,1946,0,1570,1,4,1,1,4800,2018-08,115000
Residential,2440355000,4331 N 15TH ST,,1,1620,Colonial,Aluminum / Vinyl,2,1942,0,1236,1,3,1,1,4960,2018-04,80000
Residential,1710383200,3800 W THURSTON AV,,1,900,Colonial,Aluminum / Vinyl,2,1963,0,1103,1,3,1,1,4440,2018-11,76000
Residential,2300432000,4608 N 31ST ST,,1,1500,Colonial,Aluminum / Vinyl,2,1954,0,997,1,2,1,0,3600,2018-12,67900
Residential,2090310100,4909 N 47TH ST,,1,1150,Cottage,Aluminum / Vinyl,1,1900,0,972,1,3,1,0,8910,2018-08,34500
Residential,2090073110,4924 N 51ST BL,,1,1150,Cottage,Aluminum / Vinyl,1,1925,0,942,1,2,1,0,5000,2018-05,10100
Residential,2080133000,5108 N 42ND ST,,1,1440,Cottage,Aluminum / Vinyl,1,1928,0,638,1,2,2,0,4800,2018-05,27000
Residential,2440628000,4023 N 13TH ST,,1,1620,Dplx Bungalow,Masonry / Frame,2,1926,0,2530,2,4,2,0,5040,2018-10,80000
Residential,2441105000,4177 N 16TH ST,,1,1620,Dplx Bungalow,Brick,1.5,1929,0,2436,2,5,2,0,5280,2018-07,110000
Residential,2440047000,4242 N 18TH ST,,1,1620,Dplx Bungalow,Aluminum / Vinyl,2,1930,0,2430,2,4,2,0,4797,2018-10,110000
Residential,2452007000,4171-A N 20TH ST,,1,1620,Dplx Bungalow,Aluminum / Vinyl,1.5,1928,0,2374,2,5,2,0,5120,2018-07,105000
Residential,2451401000,4163 N 20TH ST,,1,1620,Dplx Bungalow,Brick,1.5,1928,0,2253,2,5,2,0,4608,2018-10,82000
Residential,2450583000,4103 N 26TH ST,,1,1500,Dplx Bungalow,Aluminum / Vinyl,2,1927,0,2244,2,4,2,0,4699,2018-08,63500
Residential,1920481000,5348 N 35TH ST,,1,1160,Dplx Bungalow,Frame,2,1928,0,2204,2,4,2,0,4200,2018-05,44000
Residential,2430614000,1106 W CAPITOL DR,,1,1620,Dplx Bungalow,Brick,1.5,1925,0,2083,2,4,2,0,4800,2018-05,137000
Residential,1710320000,5748 N 36TH ST,,1,900,Dplx Bungalow,Frame,2,1926,0,2035,2,5,2,0,4800,2018-10,25000
Residential,2440905000,4213 N 14TH ST,,1,1620,Dplx Bungalow,Aluminum / Vinyl,1.5,1929,0,1947,2,4,2,0,5043,2018-08,52500
Residential,1719811000,5622-A N 40TH ST,,1,900,Dplx Bungalow,Frame,1.5,1933,0,1925,2,4,2,0,5120,2018-12,50000
Residential,1921258000,5517 N 40TH ST,,1,1160,Dplx Bungalow,Aluminum / Vinyl,1.5,1926,0,1903,2,3,2,0,5400,2018-04,70000
Residential,2050137000,4839 N 18TH ST,,1,1340,Dplx Bungalow,Aluminum / Vinyl,1.5,1926,0,1886,2,4,2,0,5080,2018-04,74500
Residential,1920117000,5544-A N 39TH ST,,1,1160,Dplx Bungalow,Aluminum / Vinyl,1.5,1926,0,1785,2,4,2,0,5400,2018-07,27500
Residential,1920456000,5358 N 34TH ST,,1,1160,Dplx Bungalow,Aluminum / Vinyl,1.5,1924,0,1725,2,4,2,0,3600,2018-07,48000
Residential,2050138000,4846 N 19TH ST,,1,1340,Dplx Bungalow,Frame,1.5,1928,0,1626,2,3,2,0,5080,2018-08,74650
Residential,1901014000,5443A N 51ST BL,,1,1140,Duplex N/S,Brick,1.5,1965,0,2477,2,5,2,0,6656,2018-02,39250
Residential,1710103000,5649 N 39TH ST,,1,900,Duplex N/S,Masonry / Frame,2,1969,0,2392,2,6,2,2,5120,2018-04,123400
Residential,2100514000,4916 N 54TH ST,,1,1140,Duplex N/S,Aluminum / Vinyl,2,1957,0,2238,2,6,3,0,6160,2018-11,107500
Residential,1959981300,5470 N 19TH ST,,1,1200,Duplex N/S,Aluminum / Vinyl,2,1962,0,2081,2,6,2,0,4800,2018-10,85000
Residential,2090380000,4633 W VILLARD AV,,1,1150,Duplex N/S,Aluminum / Vinyl,2,1968,0,2040,2,6,2,0,5120,2018-05,45000
Residential,2090081000,4909 N 50TH ST,,1,1150,Duplex N/S,Brick,1.5,1957,0,1985,2,5,2,0,5940,2018-10,80000
Residential,1919846100,5307 N SHERMAN BL,,1,1140,Duplex N/S,Aluminum / Vinyl,2,1965,0,1907,2,6,2,0,5400,2018-06,76000
Residential,1919908000,5328 N 48TH ST,,1,1140,Duplex N/S,Aluminum / Vinyl,2,1954,0,1890,2,4,2,0,5125,2018-12,68000
Residential,1710105000,5637 N 39TH ST,,1,900,Duplex N/S,Brick,1.5,1959,0,1889,2,5,2,0,5120,2018-06,112000
Residential,2090080000,4915 N 50TH ST,,1,1150,Duplex N/S,Frame,2,1958,0,1888,2,6,2,0,5940,2018-09,55000
Residential,1710207000,5628 N 40TH ST,,1,900,Duplex N/S,Frame,2,1957,0,1882,2,6,2,0,5120,2018-12,50000
