PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Commercial,1529968100,8608 W KAUL AV,,2,6212,Warehouse Building - 1 Story,,1,1960,0,5960,1,0,0,0,17372,2008-10,225000
Vacant Land,1809949100,5700 N LOVERS LANE RD,,5,6212,Commercial Land,,0,0,0,0,1,0,0,0,11120,2008-10,800
Lg Apartment,2280154200,4550 N 48TH ST,"8: 1-Br ,24: 2-Br ",7,6971,"Apartment: 8: 1-Br ,24: 2-Br  Units",,2,1957,0,23804,1,0,0,0,64959,2008-11,770000
Lg Apartment,5251562000,9535 W OKLAHOMA AV,"13: 2-Br ,57: 2-Br ,2: 3-Br ",11,6981,"Apartment: 13: 2-Br ,57: 2-Br ,2: 3-Br  Units",,2,1967,0,70740,1,0,0,0,171803,2008-11,4825000
Commercial,2300670000,2706 W ATKINSON AV,,1,6234,Billboard,,0,0,0,0,1,0,0,0,2910,2008-11,135000
Commercial,5510983100,1930 W HOWARD AV,,13,6418,Billboard,,0,0,0,0,1,0,0,0,15480,2008-11,550000
Commercial,5529936110,3804 S 27TH ST,,13,6286,"Car Dealer, Truck Dealer",,1,1963,0,30446,1,0,0,0,139392,2008-11,1550000
Commercial,1529960100,8641-R W KAUL AV,,2,6212,Service Building,,1,1968,0,888,1,0,0,0,22832,2008-11,78000
Commercial,4990903000,2627 S KINNICKINNIC AV,,14,6282,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1880,0,11340,1,0,0,0,9100,2008-11,500000
Commercial,3250448100,2404 N 23RD ST,,15,6256,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1892,0,8554,1,0,0,0,7560,2008-11,50700
Lg Apartment,3600427000,1020 E PLEASANT ST,13: 1-Br ,3,6974,Apartment: 13: 1-Br  Units,,3,1927,0,22858,1,0,0,0,9630,2008-12,2350000
Lg Apartment,3600426000,1026 E PLEASANT ST,30: 1-Br ,3,6974,Apartment: 30: 1-Br  Units,,3,1928,0,24028,1,0,0,0,10620,2008-12,1650000
Lg Apartment,5599962111,3800 S 84TH ST,40: 2-Br ,11,6981,Apartment: 40: 2-Br  Units,,0,1968,0,34500,1,0,0,0,0,2008-12,2150000
Commercial,4991232000,2329 S KINNICKINNIC AV,,14,6282,AP1 (Conventional Apt with 4-6 Units),,2,1900,0,4322,1,0,0,0,5750,2008-12,375000
Commercial,3130540000,2966 N 1ST ST,,6,6258,Commercial Exempt,,0,0,0,0,1,0,0,0,14015,2008-12,300000
Commercial,2681225100,3861 N 35TH ST,,7,6242,Day Care Center,,1,1948,0,4447,1,0,0,0,14340,2008-12,138750
Commercial,4600301100,1841 S 14TH ST,,12,6440,Fast Food Operation,,1,1985,0,2619,1,0,0,0,33825,2008-12,1290000
Commercial,4350486000,1328 S 35TH ST,,8,6274,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1921,0,3810,1,0,0,0,3400,2008-12,200000
Commercial,4591113000,2411 W MITCHELL ST,,8,6278,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1928,0,3580,1,0,0,0,3750,2008-12,210000
Commercial,320011000,9049 N 76TH ST,,9,6206,"Store Building - Single tenant, 1 story",,2,1973,0,8729,1,0,0,0,46609,2008-12,480000
Commercial,1410002110,6574 N 76TH ST,,9,6214,"Store Building - Single tenant, 1 story",,1,2013,0,6831,1,0,0,0,22526,2008-12,210000
Commercial,1069992121,7110 W GOOD HOPE RD,,9,6206,Warehouse Building - 1 Story,,1,1995,0,792,1,0,0,0,16150,2008-12,165000
Vacant Land,390321000,11100 W HEATHER AV,,9,6300,Commercial Land,,0,0,0,0,1,0,0,0,213575,2008-12,2429500
