PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Commercial,3141123000,3044 N HOLTON ST,,6,6238,Cottage,,1,1905,0,506,1,0,0,0,3120,2003-01,35000
Commercial,5071024000,2956 S 13TH ST,,14,6284,Laundromat,,1,1922,0,1745,1,0,0,0,3660,2003-01,70000
Commercial,2509997000,6030 W CAPITOL DR,,2,6230,Medical Clinic,,1,1957,0,2646,1,0,0,0,5410,2003-01,120000
Commercial,5470703000,3620 S CLEMENT AV,,14,6282,Office Building - 1 Story,,1,1962,0,3600,1,0,0,0,4000,2003-01,120000
Commercial,5071023000,2960 S 13TH ST,,14,6284,Office Building - Multi Story ( Ofc & Apt),,1,1900,0,1982,1,0,0,0,3660,2003-01,74000
Commercial,3921569000,802 N VAN BUREN ST,,4,6460,Rooming House - 8 or more units,,3,1896,0,5256,1,0,0,0,2310,2003-01,425000
Commercial,3920661000,524 N WATER ST,,4,6460,"Store Bldg - Multi Story (Store & Apt, Store & O",,4,1880,0,8800,1,0,0,0,2400,2003-01,215000
Commercial,5040849000,2993 S CLEMENT AV,,14,6282,"Store Bldg - Multi Story (Store & Apt, Store & O",,3,1923,0,5862,1,0,0,0,4690,2003-01,250000
Commercial,5050921000,2721 S HOWELL AV,,14,6282,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1924,0,5716,1,0,0,0,6681,2003-01,230000
Commercial,4960621000,1532 W WINDLAKE AV,,12,6281,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1927,0,5500,1,0,0,0,4540,2003-01,118000
Commercial,4680516000,616 W LINCOLN AV,,12,6281,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1921,0,4119,1,0,0,0,3300,2003-01,80000
Commercial,3520770000,1845 N 12TH ST,,15,6256,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1928,0,2328,1,0,0,0,4530,2003-01,36000
Commercial,4600315100,1401 W MITCHELL ST,,12,6418,Svs Station w Conv Store,,1,2001,0,2916,1,0,0,0,16800,2003-01,750000
Commercial,4690653000,2179 S 14TH ST,,12,6278,Tavern,,2,1926,0,3650,1,0,0,0,4200,2003-01,121900
Commercial,3491308100,3109 W LISBON AV,,15,6254,Warehouse Building - 1 Story,,1,1954,0,6575,1,0,0,0,32021,2003-01,70000
