PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,2440062000,4242 N 17TH ST,,1,1620,Cape Cod,Stone,1,1938,0,1188,1,2,1,0,5838,2009-01,103000
Residential,2440054000,4315 N 17TH ST,,1,1620,Cape Cod,Aluminum / Vinyl,1,1951,0,1054,1,3,1,0,4797,2009-01,73450
Residential,2100815000,5037 N 51ST BL,,1,1140,Cape Cod,Aluminum / Vinyl,1,1950,0,998,1,3,1,0,5040,2009-01,90000
Residential,1920792000,5300 N 39TH ST,,1,1160,Cape Cod,Aluminum / Vinyl,1,1951,0,988,1,3,1,0,4800,2009-01,63300
Residential,1710621000,5615 N 38TH  ST,,1,900,Colonial,Aluminum / Vinyl,2,2004,0,1470,1,3,2,0,5945,2009-01,107500
Residential,2060871000,4957 N 24TH ST,,1,1340,Duplex N/S,Masonry / Frame,2,1949,0,2460,2,5,2,0,5400,2009-01,95000
Residential,2080017000,3721 W VILLARD AV,,1,1140,Residence O/S,Brick,1.5,1900,0,4507,1,5,1,1,6660,2009-01,129000
Residential,2500014000,4225 N 63RD ST,,2,1490,Cape Cod,Brick,1,1954,0,1456,1,3,1,1,5590,2009-01,120900
Residential,1770613000,8654-A W MEDFORD AV,,2,1020,Duplex N/S,Aluminum / Vinyl,1.5,1962,0,1875,2,5,2,0,6000,2009-01,70000
Residential,1779933130,5680 N 86TH PL,,2,1020,Ranch,Aluminum / Vinyl,1,1966,0,1379,1,3,1,1,8190,2009-01,129900
Residential,2261134000,6700 W HOPE AV,,2,1490,Ranch,Brick,1,1962,0,1361,1,3,1,1,5750,2009-01,126500
Residential,2250697000,4756 N 69TH ST,,2,1480,Ranch,Brick,1,1964,0,1334,1,3,1,1,5544,2009-01,109000
Residential,2260803000,4467 N 67TH ST,,2,1490,Ranch,Brick,1,1962,0,1334,1,3,1,1,5250,2009-01,108000
Residential,2250065000,4509 N 73RD ST,,2,1480,Ranch,Brick,1,1959,0,1288,1,3,2,0,5400,2009-01,115000
Residential,1500601000,10213 W MILL RD,,2,820,Ranch,Frame,1,1970,0,1120,1,4,1,1,8040,2009-01,49000
Residential,1880099000,7321 W SHERIDAN AV,,2,1380,Ranch,Frame,1,1955,0,864,1,3,1,0,6500,2009-01,75000
