PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,1960139000,5509 N MILWAUKEE RIVER PK,,1,1220,Cape Cod,Brick,1,1951,0,1535,1,4,2,0,5500,2013-01,154000
Residential,2310421000,4757 N 21ST ST,,1,1340,Ranch,Aluminum / Vinyl,1,1943,0,704,1,2,1,0,4800,2013-01,10750
Residential,2650064000,3934 N 64TH ST,,2,1940,Cape Cod,Brick,1,1940,0,1180,1,3,1,1,5330,2013-01,95000
Residential,1520138000,8639 W MONROVIA AV,,2,700,Ranch,Aluminum / Vinyl,1,1957,0,1306,1,4,2,0,8868,2013-01,118000
Residential,1510060000,6062 N DENMARK ST,,2,50,Ranch,Aluminum / Vinyl,1,1964,0,1254,1,3,1,1,10235,2013-01,115000
Residential,2250171000,7308 W CONGRESS ST,,2,1480,Ranch,Brick,1,1957,0,1155,1,3,1,0,6000,2013-01,60000
Residential,1520152000,8700 W DOUGLAS AV,,2,700,Ranch,Brick,1,1957,0,942,1,3,1,0,7245,2013-01,65000
Residential,1860053000,8814 W LAWN AV,,2,1400,Ranch,Aluminum / Vinyl,1,1958,0,936,1,3,1,0,7200,2013-01,48000
Residential,2780650000,2723 E EDGEWOOD AV,,3,3060,Residence O/S,Brick,2,1926,0,3954,1,4,3,2,7440,2013-01,462500
Residential,2801163000,3262 N BARTLETT AV,,3,3150,Residence O/S,Aluminum / Vinyl,2,1899,0,1961,1,4,1,1,3600,2013-01,198000
Residential,3140314000,2863 N WEIL ST,,3,2890,Triplex,Frame,1,1895,0,1705,3,3,3,0,3600,2013-01,115000
Residential,1140144000,6825 N COVENTRY CT,,5,800,Cape Cod,Fiber-Cement,2,2003,0,2703,1,4,4,0,16999,2013-01,347500
Residential,2930689000,3136 N 91ST ST,,5,2100,Cape Cod,Stone,1,1947,0,1538,1,3,2,0,5000,2013-01,188831
