PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,1719650000,5813 N 40TH ST,,1,900,Cape Cod,Brick,1,1953,0,1305,1,3,2,0,6350,2014-01,72900
Residential,1700807000,5748 N 35TH ST,,1,900,Cape Cod,Brick,1,1951,0,1184,1,3,1,0,5760,2014-01,63500
Residential,1580256000,6125 N 37TH ST,,1,900,Cape Cod,Aluminum / Vinyl,1,1952,0,1039,1,3,1,0,5600,2014-01,64000
Residential,2300103000,4569 N 29TH ST,,1,1500,Cottage,Aluminum / Vinyl,1,1924,0,572,1,2,1,0,4200,2014-01,8600
Residential,1930286000,5520 N 33RD ST,,1,1160,Duplex N/S,Brick,2,1947,0,2100,2,4,2,0,3600,2014-01,70500
Residential,2091203000,4607 W VILLARD AV,,1,1150,Duplex N/S,Aluminum / Vinyl,2,1953,0,1824,2,6,2,0,5960,2014-01,48000
Residential,2500095000,4048 N 63RD ST,,2,1490,Cape Cod,Brick,1.5,1955,0,2383,1,6,1,1,6500,2014-01,85600
Residential,1510404000,6221 N DENMARK ST,,2,50,Ranch,Frame,1,1976,0,1377,1,3,1,1,13172,2014-01,110000
Residential,2111018000,6235 W FAIRMOUNT AV,,2,1140,Ranch,Frame,1,1954,0,972,1,3,1,0,7650,2014-01,58500
Residential,2780737000,3374 N HACKETT AV,,3,3060,Residence O/S,Brick,2,1924,0,3239,1,4,2,2,8400,2014-01,520000
Residential,3161810000,3028 N MURRAY AV,,3,3160,Residence O/S,Aluminum / Vinyl,2,1912,0,1608,1,3,1,1,5535,2014-01,270000
Residential,3550308000,1605 E KANE PL,,3,3190,Residence O/S,Frame,1.5,1889,0,1494,1,3,1,2,1590,2014-01,243000
Residential,3140279000,2855 N FRATNEY ST,,3,2890,Residence O/S,Frame,1,1900,0,1036,1,2,1,0,3600,2014-01,112500
Residential,3642505100,1238 N 26TH ST,,4,3040,Residence O/S,Aluminum / Vinyl,1,1892,0,940,1,2,1,0,6600,2014-01,37992
