PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,2310519000,4468 N 21ST ST,,1,1620,Cape Cod,Brick,1,1944,0,1318,1,4,2,0,4800,2011-01,75000
Residential,1700717000,3215 W THURSTON AV,,1,900,Colonial,Frame,2,1941,0,1843,1,3,1,1,7200,2011-01,103500
Residential,2310410000,4733 N 22ND ST,,1,1340,Duplex N/S,Frame,2,1949,0,1818,2,4,2,0,5120,2011-01,55000
Residential,2440629000,1402 W CAPITOL DR,,1,1620,Residence O/S,Brick,1,1926,0,2152,1,5,2,0,6165,2011-01,48000
Residential,1740577000,5957 N 64TH ST,,2,960,Duplex N/S,Aluminum / Vinyl,1.5,1963,0,1909,2,5,2,0,4960,2011-01,33000
Residential,2250767000,4603 N 70TH ST,,2,1480,Ranch,Stone,1,1955,0,1131,1,3,1,1,6144,2011-01,75000
Residential,1530207000,7835 W WINFIELD AV,,2,700,Ranch,Aluminum / Vinyl,1,1959,0,942,1,3,1,1,7200,2011-01,83000
Residential,2810112000,3254 N FRATNEY ST,,3,2880,Milwaukee Bungalow,Frame,1,1925,0,1052,1,3,1,0,3960,2011-01,87700
Residential,3561282000,2209 E KENILWORTH PL,,3,3060,Tudor,Stucco,2,1909,0,3518,1,6,3,0,3310,2011-01,405000
Residential,2610752000,3401 N 93RD ST,,5,2100,Cape Cod,Brick,1,1947,0,2014,1,5,2,0,6000,2011-01,170900
Residential,3031417000,2970 N 82ND ST,,5,2080,Cape Cod,Brick,1,1947,0,1503,1,3,1,0,6400,2011-01,162000
Residential,2631088000,3526 N 80TH ST,,5,2040,Cape Cod,Brick,1,1953,0,1322,1,4,2,0,5632,2011-01,155000
Residential,2930213000,3369 N 85TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1,1950,0,1171,1,4,1,0,5760,2011-01,150000
Residential,2920488000,3129 N 78TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1,1950,0,1156,1,3,2,0,5504,2011-01,118900
Residential,2930491000,3329 N 91ST ST,,5,2100,Cape Cod,Aluminum / Vinyl,1,1952,0,1092,1,4,1,0,4800,2011-01,124000
Residential,2930611000,3401 N 90TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1,1952,0,1074,1,3,1,0,5000,2011-01,113500
Residential,2611376000,3716 N 94TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1,1952,0,1039,1,3,1,1,5355,2011-01,119750
Residential,2930044000,3222 N 88TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1,1950,0,1022,1,3,1,1,4800,2011-01,115000
Residential,2930475000,3350 N 92ND ST,,5,2100,Cape Cod,Aluminum / Vinyl,1,1952,0,1016,1,3,1,1,4960,2011-01,97500
Residential,3020124000,2961 N 89TH ST,,5,2080,Cape Cod,Aluminum / Vinyl,1,1950,0,948,1,3,1,0,5000,2011-01,135000
Residential,2241126000,8320 W CONGRESS ST,,5,1470,Duplex N/S,Brick,2,1957,0,2584,2,6,2,0,5520,2011-01,135000
Residential,1160178000,9546 W CIRCLE CT,,5,440,Ranch,Aluminum / Vinyl,1,1962,0,1420,1,3,1,1,14528,2011-01,157500
Residential,2240619000,7817 W ARDEN PL,,5,1470,Ranch,Frame,1,1955,0,1064,1,3,1,0,7524,2011-01,115000
Residential,2930120000,3244 N 87TH ST,,5,2100,Ranch,Aluminum / Vinyl,1,1950,0,912,1,3,1,0,5000,2011-01,110000
Residential,2240152000,4632 N HOUSTON AV,,5,1470,Split Level,Aluminum / Vinyl,1,1957,0,1487,1,3,2,0,6837,2011-01,90000
Residential,3140989100,2920 N BUFFUM ST,,6,2930,Dplx Bungalow,Brick,2,1922,0,2714,2,6,2,0,8040,2011-01,50000
Residential,2819995000,3259 N BUFFUM ST,,6,2900,Duplex O/S,Aluminum / Vinyl,1.5,1915,0,1809,2,4,2,0,3690,2011-01,20000
Residential,2841223000,3422 N TEUTONIA AV,,6,2850,Milwaukee Bungalow,Aluminum / Vinyl,1,1927,0,955,1,2,1,0,2244,2011-01,35000
Residential,2490466000,5327 W LEON TR,,7,1560,Cape Cod,Aluminum / Vinyl,1,1950,0,1200,1,3,1,0,4800,2011-01,85000
Residential,2470612000,4105 N ELMHURST RD,,7,1680,Duplex O/S,Aluminum / Vinyl,1.5,1941,0,1824,2,3,2,0,4880,2011-01,72000
Residential,4340241000,1101 S 20TH ST,,8,4050,Dplx Bungalow,Frame,2,1923,0,2425,2,4,2,0,4900,2011-01,80000
Residential,4580517000,1754 S 28TH ST,,8,4060,Dplx Bungalow,Aluminum / Vinyl,1.5,1922,0,1702,2,3,2,0,5850,2011-01,108000
Residential,4940069000,2572 S 29TH ST,,8,4000,Duplex O/S,Aluminum / Vinyl,1.5,1910,0,1722,2,3,2,0,3600,2011-01,79000
