PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,3491731000,2915 W BROWN ST,,15,2420,AP 1,Frame,2,1899,0,3380,4,10,1,0,4520,2005-01,70000
Lg Apartment,3921605000,1007 N MARSHALL ST,"36: 1-Br ,6: 2-Br ",4,6974,"Apartment: 36: 1-Br ,6: 2-Br  Units",,3,1977,0,36624,1,0,0,0,17780,2005-01,2520000
Lg Apartment,5549987100,3760 S 43RD ST,"10: 1-Br ,8: 2-Br ,3: 3-Br ",11,6981,"Apartment: 10: 1-Br ,8: 2-Br ,3: 3-Br  Units",,2,1970,0,21000,1,0,0,0,0,2005-01,1162000
Lg Apartment,5391101100,3333 S CLEMENT AV,"37: 1-Br ,1: 2-Br ",14,6979,"Apartment: 37: 1-Br ,1: 2-Br  Units",,2,1974,0,27186,1,0,0,0,98712,2005-01,2325000
Commercial,4701214000,2224 W LINCOLN AV,,8,6281,Auto & Auto Body Repair,,1,1923,0,2400,1,0,0,0,3600,2005-01,115000
Commercial,4690818000,1550 W LINCOLN AV,,12,6281,Billboard,,0,0,0,0,1,0,0,0,5600,2005-01,265000
Commercial,4600123110,1937 S 13TH ST,,12,6278,Parking Lot,,0,0,0,0,1,0,0,0,21000,2005-01,85000
Commercial,5020083000,2602 E OKLAHOMA AV,,14,6282,Residence With Commercial Usage,,1.5,1919,0,2849,1,0,0,0,4136,2005-01,325000
Commercial,3113113000,2856 N TEUTONIA AV,,15,6256,Residence With Commercial Usage,,2,1891,0,2233,1,0,0,0,4100,2005-01,17000
Commercial,1229983112,4911 W GOOD HOPE RD,,9,6216,Service Building,,1,1959,0,10920,1,0,0,0,12779,2005-01,140000
Commercial,3540621000,1020 E LAND PL,,3,6264,Service Building,,1,1921,0,3663,1,0,0,0,3750,2005-01,180000
Commercial,4620501000,101 E MITCHELL ST,,12,6279,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1903,0,14622,1,0,0,0,10100,2005-01,525000
Commercial,3891504000,2041 W WELLS ST,,4,6270,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1905,0,12314,1,0,0,0,9602,2005-01,450000
Commercial,2811851000,3272 N HOLTON ST,,6,6238,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1926,0,5611,1,0,0,0,3780,2005-01,160000
Commercial,3461625000,5201 W NORTH AV,,10,6250,"Store Bldg - Multi Story (Store & Apt, Store & O",,2.5,1924,0,4789,1,0,0,0,4200,2005-01,87000
Commercial,3661716000,3720 W VLIET ST,,15,6254,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1925,0,4416,1,0,0,0,4200,2005-01,65000
Commercial,5030041000,3001 S KINNICKINNIC AV,,14,6282,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1910,0,4335,1,0,0,0,3600,2005-01,130000
Commercial,3611901000,730 N PLANKINTON AV,,4,6460,"Store Bldg - Multi Story (Store & Apt, Store & O",,10,1916,0,3375,1,0,0,0,405,2005-01,215000
Commercial,3210616000,700 E MEINECKE AV,,3,6260,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1890,0,2928,1,0,0,0,3600,2005-01,235000
Commercial,3080954000,3712 W CENTER ST,,15,6242,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1916,0,2704,1,0,0,0,3360,2005-01,75000
Commercial,4311047000,810 S 5TH ST,,12,6275,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1890,0,2558,1,0,0,0,3900,2005-01,164000
Commercial,3600583000,911 E BRADY ST,,3,6264,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1860,0,2112,1,0,0,0,2464,2005-01,365000
Commercial,3661761000,3922 W VLIET ST,,15,6254,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1927,0,1920,1,0,0,0,3625,2005-01,57500
Commercial,3891813000,2336 W WISCONSIN AV,,4,6270,Store Building - Multiple Tenants,,1,1976,0,3840,1,0,0,0,8640,2005-01,280000
Commercial,5360118000,3164 S 13TH ST,,14,6284,"Store Building - Single tenant, 1 story",,1,1900,0,1933,1,0,0,0,3660,2005-01,153000
Commercial,2180002000,11728 W HAMPTON AV,,5,6418,Svs Station w Conv Store,,1,1970,0,1873,1,0,0,0,29000,2005-01,508000
Commercial,4709977100,2007 W FOREST HOME AV,,8,6278,Tavern,,2,1924,0,9954,1,0,0,0,8307,2005-01,220000
Commercial,4610011000,1442 S 7TH ST,,12,6277,Tavern,,2,1890,0,3100,1,0,0,0,10260,2005-01,145000
Commercial,3251211000,2000 W NORTH AV,,15,6256,Warehouse Building - 1 Story,,1,1900,0,6224,1,0,0,0,7410,2005-01,85000
Commercial,1400271000,6433 N INDUSTRIAL RD,,9,6208,Warehouse Building - 1 Story,,1,1982,0,2500,1,0,0,0,22216,2005-01,84000
