PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,2090189000,5116 N 50TH ST,,1,1150,Cape Cod,Aluminum / Vinyl,1,1954,0,1159,1,4,2,0,4920,2016-01,75750
Residential,1719784000,4221 W FLORIST AV,,1,900,Cape Cod,Stucco,1,1951,0,977,1,3,1,0,5104,2016-01,65000
Residential,2050626000,4903 N 18TH ST,,1,1340,Ranch,Frame,1,1949,0,966,1,2,1,0,6477,2016-01,42000
Residential,1700428000,5791 N 32ND ST,,1,900,Ranch,Aluminum / Vinyl,1,1952,0,882,1,2,1,0,5400,2016-01,42000
Residential,1921146000,5441 N 41ST ST,,1,1160,Residence O/S,Aluminum / Vinyl,1,1926,0,1236,1,4,1,1,4200,2016-01,49900
Residential,2501046000,4330 N 62ND ST,,2,1490,Cape Cod,Brick,1,1956,0,1282,1,3,2,0,5200,2016-01,99900
Residential,2110407000,5122 N 65TH ST,,2,1380,Cape Cod,Brick,1,1951,0,1280,1,3,1,1,6360,2016-01,84000
Residential,2250217000,4446 N 76TH ST,,2,1480,Duplex N/S,Brick,2,1958,0,2114,2,6,2,0,4800,2016-01,70000
Residential,2120750000,4936 N 72ND ST,,2,1480,Ranch,Aluminum / Vinyl,1,1961,0,1120,1,3,2,0,7980,2016-01,104000
Residential,1520210000,8750 W BENDER AV,,2,700,Ranch,Aluminum / Vinyl,1,1958,0,908,1,3,1,0,7280,2016-01,60000
Residential,1909816000,5359 N 58TH ST,,2,1140,Ranch,Aluminum / Vinyl,1,1953,0,907,1,2,1,0,6020,2016-01,25000
Residential,1880729000,5301 N 68TH ST,,2,1380,Ranch,Aluminum / Vinyl,1,1954,0,894,1,3,1,0,6000,2016-01,41100
Residential,3150902000,1224 E ROADSMEET ST,,3,3320,Cape Cod,Brick,1,1945,0,1176,1,3,1,0,5040,2016-01,164000
Residential,3200611200,2564 N NEWHALL ST,,3,3190,Cottage,Aluminum / Vinyl,1.5,1901,0,1748,1,3,2,0,3000,2016-01,280000
Residential,2809985000,3272 N HUMBOLDT BL,,3,3320,Dplx Bungalow,Aluminum / Vinyl,2,1928,0,2680,2,5,2,0,15105,2016-01,271000
Residential,3160509000,2935 N DOWNER AV,,3,3060,Duplex O/S,Stucco,2,1915,0,3494,2,8,2,0,4880,2016-01,257500
Residential,3160956000,2953 N MARYLAND AV,,3,3160,Duplex O/S,Aluminum / Vinyl,2,1911,0,3423,2,7,2,1,5160,2016-01,295000
Residential,3551204000,2100 N OAKLAND AV,,3,3190,Duplex O/S,Aluminum / Vinyl,2,1896,0,2906,2,7,3,0,4080,2016-01,259000
