PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,1960134000,5524 N 11TH ST,,1,1220,Cape Cod,Aluminum / Vinyl,1.5,1940,0,1677,1,3,2,0,6050,2017-01,142500
Residential,1020541000,4000 W CLINTON AV,,1,380,Cape Cod,Frame,1,1951,0,1422,1,3,1,0,10307,2017-01,110000
Residential,2320238000,1830 W CONGRESS ST,,1,1620,Cape Cod,Brick,1,1951,0,834,1,2,1,0,5547,2017-01,24900
Residential,2320312000,4677 N GREEN BAY AV,,1,1340,Colonial,Aluminum / Vinyl,2,1952,0,1350,1,3,1,1,7350,2017-01,42000
Residential,1710122000,5667 N 42ND ST,,1,900,Duplex N/S,Brick,2,1959,0,2352,2,5,2,0,8460,2017-01,74900
Residential,2300510000,4647 N 27TH ST,,1,1500,Duplex N/S,Masonry / Frame,2,1947,0,2118,2,4,2,0,5160,2017-01,35000
Residential,2061201000,5145 N 23RD ST,,1,1340,Ranch,Brick,1,1952,0,810,1,2,1,0,8901,2017-01,66295
Residential,1719939000,5939-A N 37TH ST,,1,900,Residence O/S,Frame,2,1929,0,1346,1,4,2,0,5120,2017-01,38000
Residential,2310045000,4343 N 25TH ST,,1,1500,Residence O/S,Aluminum / Vinyl,2,1923,0,1172,1,3,1,0,4000,2017-01,50000
Residential,2451616000,4254 N 25TH ST,,1,1500,Tudor,Stone,1,1936,0,1756,1,5,3,0,5117,2017-01,113000
Residential,1750513000,5623 N 73RD ST,,2,980,Cape Cod,Brick,1.5,1930,0,1357,1,3,1,0,4800,2017-01,72500
Residential,2260847000,4424 N 67TH ST,,2,1490,Cape Cod,Frame,1.5,1951,0,1350,1,5,1,1,5250,2017-01,91500
Residential,1760038000,7818 W SILVER SPRING DR,,2,980,Duplex N/S,Brick,1.5,1966,0,2164,2,5,2,1,5160,2017-01,85000
Residential,1502043000,6212 N 102ND ST,,2,820,Ranch,Aluminum / Vinyl,1,1978,0,1247,1,3,2,0,7980,2017-01,122000
Residential,1780070000,5740 N 98TH ST,,2,1020,Ranch,Aluminum / Vinyl,1,1964,0,1218,1,3,1,1,4920,2017-01,85000
Residential,2110652000,4896 N 66TH ST,,2,1380,Ranch,Brick,1,1953,0,1108,1,2,1,1,4920,2017-01,79000
Residential,2250120000,4448 N 72ND ST,,2,1480,Ranch,Aluminum / Vinyl,1,1953,0,1091,1,3,1,0,7440,2017-01,72000
Residential,1520302000,6310 N JOYCE AV,,2,700,Ranch,Aluminum / Vinyl,1,1958,0,938,1,3,2,0,8715,2017-01,89000
Residential,3201246000,2420 N DOUSMAN ST,,3,3330,Cottage,Aluminum / Vinyl,1,1880,0,917,1,2,1,0,3000,2017-01,105000
Residential,3550164000,1929 N CAMBRIDGE AV,,3,3190,Dplx Bungalow,Aluminum / Vinyl,2,1925,0,3152,2,6,2,0,6000,2017-01,300000
Residential,3921754000,1520 N JACKSON ST,,3,3240,Duplex O/S,Brick,2,1872,0,2496,2,5,2,1,3840,2017-01,297000
Residential,3551242000,1925 N BARTLETT AV,,3,3190,Duplex O/S,Aluminum / Vinyl,2,1889,0,2332,2,5,2,0,2370,2017-01,183000
Residential,3160337000,2969 N MURRAY AV,,3,3160,Duplex O/S,Aluminum / Vinyl,2,1910,0,2296,2,5,2,0,4560,2017-01,265000
Residential,3210621000,2438 N PIERCE ST,,3,2890,Duplex O/S,Aluminum / Vinyl,2,1900,0,2032,2,4,2,0,5332,2017-01,140000
Residential,3600018000,1627 N VAN BUREN ST,,3,3240,Residence O/S,Masonry / Frame,2,1917,0,2063,1,2,2,1,4800,2017-01,292500
Residential,2801065000,3235 N NEWHALL ST,,3,3150,Residence O/S,Aluminum / Vinyl,1.5,1907,0,1507,1,3,2,0,5400,2017-01,215000
Residential,3601551000,1647 N ASTOR ST,,3,3240,Triplex,Brick,2,1925,0,3793,3,11,4,0,3840,2017-01,500000
Residential,3161450000,2302 E NEWBERRY BL,,3,3060,Tudor,Brick,2,1926,0,2817,1,5,3,1,7500,2017-01,450000
Residential,3880028000,3037 W KILBOURN AV,,4,2300,Duplex O/S,Frame,2,1885,0,4469,2,6,2,1,8650,2017-01,95000
Residential,3880130000,850 N 29TH ST,,4,2300,Residence O/S,Frame,2,1893,0,3475,1,9,3,0,6250,2017-01,117000
Residential,3651360000,3240 W MC KINLEY BL,,4,2300,Residence O/S,Frame,2,1908,0,1765,1,4,1,0,2925,2017-01,69500
Residential,3030960000,2815 N 81ST ST,,5,2080,Cape Cod,Brick,1,1950,0,2115,1,4,3,0,6400,2017-01,215000
Residential,2620629000,3811 N 87TH ST,,5,2040,Cape Cod,Brick,1,1949,0,1477,1,4,1,1,7000,2017-01,149999
Residential,2241064000,8055 W POTOMAC AV,,5,1470,Cape Cod,Aluminum / Vinyl,1,1955,0,1173,1,4,1,1,4800,2017-01,114000
Residential,2611321000,9512 W METCALF PL,,5,2100,Cape Cod,Aluminum / Vinyl,1,1952,0,1153,1,3,1,2,4800,2017-01,79900
Residential,2611419000,3615 N 92ND ST,,5,2100,Cape Cod,Brick,1,1950,0,1137,1,3,1,1,5995,2017-01,117100
Residential,2611416000,3537 N 92ND ST,,5,2100,Cape Cod,Aluminum / Vinyl,1,1951,0,1062,1,3,1,0,4687,2017-01,113900
Residential,2230283000,4706 N 89TH ST,,5,1460,Colonial,Brick,2,1968,0,1786,1,4,1,1,5550,2017-01,140000
Residential,1800122000,11101 W CARMEN AV,,5,780,Colonial,Aluminum / Vinyl,2,1980,0,1667,1,4,1,1,10472,2017-01,140000
Residential,3020679000,2847 N 91ST ST,,5,2120,Colonial,Brick,2,1942,0,1536,1,3,1,1,5900,2017-01,203500
Residential,3031326000,8229-A W BURLEIGH ST,,5,2080,Duplex N/S,Brick,2,1951,0,2432,2,6,2,0,5520,2017-01,160000
Residential,2530554000,4354 N 91ST ST,,5,1460,Duplex N/S,Aluminum / Vinyl,2,1957,0,2219,2,6,2,0,4800,2017-01,88500
Residential,2620402000,3613 N 85TH ST,,5,2040,Duplex N/S,Masonry / Frame,2,1954,0,2062,2,6,2,0,5080,2017-01,112000
Residential,1840251000,10514 W VILLARD AV,,5,1040,Duplex N/S,Brick,2,1959,0,1989,2,4,2,0,7735,2017-01,108000
Residential,3010030000,9705 W TOWER VIEW BL,,5,2140,Ranch,Brick,1,1952,0,2423,1,3,2,1,17067,2017-01,296000
Residential,1150056000,9931 W BEECHWOOD AV,,5,440,Ranch,Masonry / Frame,1,1960,0,1695,1,3,2,1,21780,2017-01,205000
Residential,2940208000,3260 N 96TH ST,,5,2140,Ranch,Frame,1,1953,0,1489,1,3,1,2,7200,2017-01,162000
Residential,2940178000,3219 N 96TH ST,,5,2140,Ranch,Brick,1,1953,0,1216,1,3,1,1,7800,2017-01,160500
Residential,2520276000,4185 N 77TH ST,,5,1470,Ranch,Aluminum / Vinyl,1,1957,0,985,1,2,2,0,5651,2017-01,72500
Residential,1840309000,10401 W CALDWELL AV,,5,1040,Ranch,Brick,1,1956,0,966,1,3,1,0,7500,2017-01,95000
Residential,3020883000,2742 N 85TH ST,,5,2080,Ranch,Frame,1,1950,0,866,1,3,1,0,6625,2017-01,124000
Residential,3211479000,2566 N BOOTH ST,,6,2810,Cottage,Aluminum / Vinyl,1,1896,0,800,1,2,1,0,2542,2017-01,84500
Residential,3120148000,2910 N 11TH ST,,6,2870,Dplx Bungalow,Frame,2,1927,0,2621,2,6,2,0,4600,2017-01,31419
Residential,3111023000,2938 N TEUTONIA AV,,6,2870,Dplx Bungalow,Aluminum / Vinyl,2,1910,0,2376,2,4,2,0,3420,2017-01,25000
Residential,2841063000,3162 N 15TH ST,,6,2850,Dplx Bungalow,Aluminum / Vinyl,1.5,1924,0,2074,2,4,2,0,3720,2017-01,25000
Residential,2721513000,3634 N 9TH ST,,6,2860,Dplx Bungalow,Aluminum / Vinyl,1.5,1925,0,1887,2,4,2,0,3813,2017-01,33000
Residential,3220084100,2661 N 1ST ST,,6,2920,Duplex O/S,Frame,2,1904,0,3420,2,6,2,0,12000,2017-01,65000
Residential,3220274000,112 E NORTH AV,,6,2920,Duplex O/S,Aluminum / Vinyl,1.5,1895,0,1984,2,4,2,0,3800,2017-01,72000
Residential,2812607000,605 E KEEFE AV,,6,2800,Milwaukee Bungalow,Aluminum / Vinyl,1,1926,0,1206,1,3,1,0,3330,2017-01,80500
Residential,3530356000,114 W LLOYD ST,,6,2910,Residence O/S,Frame,1.5,1892,0,1691,1,3,1,1,2750,2017-01,175000
Residential,2660023000,3940 N 60TH ST,,7,1830,Cape Cod,Aluminum / Vinyl,1,1948,0,1131,1,3,1,0,5453,2017-01,55000
Residential,2670368000,3915 N SHERMAN BL,,7,1820,Colonial,Stone,2,1938,0,2165,1,4,1,1,5160,2017-01,89900
Residential,2690273000,2806 W MELVINA ST,,7,2840,Dplx Bungalow,Frame,2,1923,0,2247,2,4,2,0,3700,2017-01,29000
Residential,2480553000,4530 W CAPITOL DR,,7,1680,Duplex N/S,Brick,2,1951,0,2310,2,4,2,0,5850,2017-01,88000
Residential,2660589000,3635 N 56TH ST,,7,1830,Milwaukee Bungalow,Brick,1,1931,0,1735,1,4,2,0,4551,2017-01,97500
Residential,2880065000,3241 N 45TH ST,,7,1840,Milwaukee Bungalow,Aluminum / Vinyl,1,1926,0,1677,1,4,2,0,4800,2017-01,129500
Residential,4720348000,2254 S 36TH ST,,8,4000,Dplx Bungalow,Stone,1.5,1937,0,1999,2,3,2,1,5000,2017-01,113500
Residential,4950238000,2909 W HAYES AV,,8,4000,Residence O/S,Aluminum / Vinyl,1.5,1903,0,1428,1,3,1,1,5400,2017-01,61986
Residential,4710166000,2037 S 32ND ST,,8,4000,Residence O/S,Frame,1,1916,0,1383,1,4,1,0,3810,2017-01,76900
Residential,4720150000,2047 S 36TH ST,,8,4000,Residence O/S,Aluminum / Vinyl,1.5,1900,0,954,1,2,2,0,4650,2017-01,39000
Residential,1180101000,7729 W BEECHWOOD AV,,9,480,Ranch,Aluminum / Vinyl,1,1969,0,1531,1,3,1,1,7800,2017-01,126500
Residential,1430101100,6673 N HASTINGS ST,,9,480,Ranch,Brick,1,1957,0,1384,1,4,2,0,9018,2017-01,137000
Residential,1229967141,7073 N 45TH ST,,9,600,Ranch,Aluminum / Vinyl,1,1992,0,1232,1,3,1,1,9150,2017-01,115000
Residential,1040055000,7503 N 52ND ST,,9,360,Ranch,Masonry / Frame,1,1958,0,1067,1,3,1,0,9375,2017-01,119900
Residential,730084000,8214 N ANN ST,,9,240,Ranch,Aluminum / Vinyl,1,1966,0,1062,1,3,1,1,10633,2017-01,132000
Residential,3040026000,7509 W BURLEIGH ST,,10,2080,Cape Cod,Brick,1,1950,0,1179,1,3,1,1,5400,2017-01,97000
Residential,4070655000,164 N 79TH ST,,10,2720,Cape Cod,Brick,1,1946,0,1135,1,3,1,1,4320,2017-01,138900
Residential,3050586100,2750 N HARTUNG AV,,10,1980,Colonial,Brick,2,1939,0,2187,1,3,2,1,5874,2017-01,315000
Residential,3470029000,2031 N 49TH ST,,10,2540,Colonial,Aluminum / Vinyl,2,1914,0,2130,1,3,2,1,4800,2017-01,163000
Residential,3469951000,2114 N 54TH ST,,10,2540,Colonial,Brick,2,1921,0,1426,1,3,2,0,2728,2017-01,164500
Residential,3050819000,6428 W MOLTKE AV,,10,1870,Colonial,Aluminum / Vinyl,1.5,1923,0,1260,1,3,2,0,3840,2017-01,90000
Residential,3860658000,1137 N 45TH ST,,10,2610,Dplx Bungalow,Aluminum / Vinyl,2,1927,0,2284,2,4,2,0,4800,2017-01,115000
Residential,3290791000,2570 N 60TH ST,,10,2540,Duplex N/S,Aluminum / Vinyl,2,1950,0,1585,2,3,2,0,4800,2017-01,135000
Residential,3680005000,1609 N 51ST ST,,10,2600,Milwaukee Bungalow,Aluminum / Vinyl,1,1918,0,1961,1,4,2,0,5080,2017-01,187500
Residential,3670876000,1544 N 50TH ST,,10,2600,Milwaukee Bungalow,Aluminum / Vinyl,1,1918,0,1718,1,5,2,1,4800,2017-01,187500
Residential,2890658000,3282 N 58TH ST,,10,1850,Milwaukee Bungalow,Aluminum / Vinyl,1,1930,0,1249,1,4,1,1,5200,2017-01,85000
Residential,4161501000,145 S 92ND ST,,10,2760,Ranch,Brick,1,1954,0,1120,1,3,1,1,8288,2017-01,122000
Residential,4161529100,9327 W DIXON ST,,10,2760,Ranch,Brick,1,1954,0,955,1,3,1,0,6720,2017-01,127500
Residential,3060566000,5218 W LOCUST ST,,10,1860,Residence O/S,Aluminum / Vinyl,1,1924,0,1176,1,3,1,0,5640,2017-01,54700
Residential,4201079100,214 S 62ND ST,,10,2710,Residence O/S,Aluminum / Vinyl,1.5,1920,0,1093,1,3,1,1,5040,2017-01,135000
Residential,3460850000,1540 N 60TH ST,,10,2600,Residence O/S,Stucco,1,1924,0,1057,1,3,1,1,4800,2017-01,159900
Residential,4200658100,6403 W FAIRVIEW AV,,10,2700,Triplex,Aluminum / Vinyl,2,1925,0,2650,3,6,3,0,7750,2017-01,164000
Residential,4200853100,615 S 64TH ST,,10,2710,Triplex,Masonry / Frame,2,1960,0,2490,3,5,3,1,6192,2017-01,165200
Residential,4030620000,240 N PINECREST ST,,10,2680,Tudor,Brick,1.5,1930,0,2074,1,3,1,1,6161,2017-01,232000
Residential,5320519000,3206 S 42ND ST,,11,4410,Cape Cod,Stone,1,1949,0,1618,1,4,2,0,5160,2017-01,158900
Residential,4891243000,2640 S 71ST ST,,11,4240,Cape Cod,Aluminum / Vinyl,1,1953,0,1184,1,3,1,0,5000,2017-01,141000
Residential,5120468000,2848 S 49TH ST,,11,4240,Cape Cod,Aluminum / Vinyl,1,1949,0,1032,1,3,1,1,5208,2017-01,143000
Residential,5540085000,3791 S CENTENNIAL CR,,11,4425,Colonial,Fiber-Cement,2,2004,0,2372,1,3,2,1,6208,2017-01,255000
Residential,5710520000,7007 W VAN BECK AV,,11,4430,Colonial,Frame,2,1979,0,1870,1,3,2,1,10176,2017-01,225600
Residential,5121242000,3072 S 47TH ST,,11,4320,Colonial,Stone,2,1940,0,1846,1,3,1,2,5400,2017-01,214000
Residential,5560534000,3501 S 57TH ST,,11,4420,Colonial,Masonry / Frame,2,1938,0,1502,1,3,1,1,8580,2017-01,137500
Residential,5129998000,3053 S 49TH ST,,11,4240,Duplex N/S,Stone,2,1952,0,2534,2,4,2,0,7564,2017-01,162000
Residential,5590231000,3540 S 81ST ST,,11,4340,Duplex N/S,Masonry / Frame,1.5,1954,0,2212,2,4,2,1,10720,2017-01,201000
Residential,5330101000,3332 W MORGAN AV,,11,4400,Duplex N/S,Brick,1.5,1958,0,2188,2,5,2,0,5500,2017-01,143000
Residential,5151704000,6914 W OKLAHOMA AV,,11,4240,Duplex N/S,Aluminum / Vinyl,2,1953,0,1554,2,4,2,0,5750,2017-01,112000
Residential,5600343100,3711 S 91ST ST,,11,4350,Duplex O/S,Aluminum / Vinyl,2,1938,0,1892,2,3,2,0,7920,2017-01,176300
Residential,5121176000,3025 S 43RD ST,,11,4320,Milwaukee Bungalow,Brick,1,1929,0,1606,1,3,1,0,4680,2017-01,129000
Residential,5260179000,3316 S 87TH CT,,11,4340,Ranch,Brick,1,1963,0,1553,1,3,1,1,8676,2017-01,188500
Residential,5590635000,3728 S 78TH ST,,11,4340,Ranch,Aluminum / Vinyl,1,1957,0,1202,1,3,2,1,7623,2017-01,184000
Residential,5580418000,3746 S 69TH ST,,11,4330,Ranch,Brick,1,1958,0,1133,1,3,1,1,8100,2017-01,150000
Residential,5710139000,4029 S 74TH ST,,11,4340,Ranch,Aluminum / Vinyl,1,1956,0,1073,1,3,1,0,7383,2017-01,169500
Residential,5260642000,3261 S 90TH ST,,11,4340,Ranch,Brick,1,1960,0,1033,1,3,1,0,7560,2017-01,173000
Residential,5270278000,8136 W SUNBURY CT,,11,4340,Ranch,Aluminum / Vinyl,1,1957,0,1015,1,3,1,1,8100,2017-01,130000
Residential,5600354110,3750 S 92ND ST,,11,4350,Ranch,Aluminum / Vinyl,1,1962,0,968,1,3,1,0,5280,2017-01,138000
Residential,5570303000,3520 S 68TH ST,,11,4420,Ranch,Brick,1,1955,0,877,1,3,1,1,6840,2017-01,110000
