PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Lg Apartment,2459989000,2330 W ROOSEVELT DR,51: 1-Br ,1,6975,Apartment: 51: 1-Br  Units,,3,1929,0,44652,1,0,0,0,0,2007-01,880000
Lg Apartment,3590295000,1626 N PROSPECT AV,"79: 1-Br ,40: 1-Br ,43: 2-Br ",4,6974,"Apartment: 79: 1-Br ,40: 1-Br ,43: 2-Br  Units",,22,1964,0,230828,1,0,0,0,38010,2007-01,22500000
Lg Apartment,4249993000,3030 W PIERCE ST,,8,6978,Apartment:  Units,,2,1928,0,7940,1,0,0,0,14017,2007-01,720000
Commercial,3661762100,3916 W KISSLICH PL,,15,6254,Auto & Auto Body Repair,,2,1909,0,8272,1,0,0,0,11088,2007-01,42000
Commercial,2291188100,4768 N HOPKINS ST,,7,6232,Beer Depot & Liquor Store,,2,1925,0,2610,1,0,0,0,4211,2007-01,64000
Commercial,2630470100,7903 W CAPITOL DR,,5,6226,Day Care Center,,1,1965,0,4965,1,0,0,0,16022,2007-01,597500
Commercial,2070842000,5140 N TEUTONIA AV,,1,6232,Office Building - 1 Story,,1,1964,0,4864,1,0,0,0,16640,2007-01,126800
Commercial,3661716000,3720 W VLIET ST,,15,6254,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1925,0,4416,1,0,0,0,4200,2007-01,60000
Commercial,4960638000,1559 W LINCOLN AV,,12,6281,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1890,0,2880,1,0,0,0,3600,2007-01,160000
Commercial,5071032100,2912 S 13TH ST,,14,6284,"Store Bldg - Multi Story (Store & Apt, Store & O",,1.5,1908,0,2635,1,0,0,0,7320,2007-01,90000
Commercial,2470223000,4122 W CAPITOL DR,,7,6244,Store Building - Multiple Tenants,,1,1940,0,7475,1,0,0,0,10204,2007-01,245000
Commercial,3470347000,4433 W LISBON AV,,15,6254,"Store Building - Single tenant, 1 story",,1,1950,0,2074,1,0,0,0,2790,2007-01,35000
Commercial,5360118000,3164 S 13TH ST,,14,6284,"Store Building - Single tenant, 1 story",,1,1900,0,1933,1,0,0,0,3660,2007-01,125000
Commercial,3551571000,1100 E GARFIELD AV,,3,6455,Super Market,,1,1998,0,63701,1,0,0,0,237010,2007-01,7600000
Commercial,4360311000,3733 W NATIONAL AV,,8,6274,Tavern,,2,1931,0,3995,1,0,0,0,4469,2007-01,212000
Commercial,3460839000,5900 W VLIET ST,,10,6252,Theater,,1,1924,0,9282,1,0,0,0,12795,2007-01,272500
Commercial,4709991000,2151 W FOREST HOME AV,,8,6278,Used Car Sale,,1,1958,0,5866,1,0,0,0,5866,2007-01,135000
Commercial,4579832000,1630 S 38TH ST,,8,6274,Warehouse Building - 1 Story,,1,1956,0,7800,1,0,0,0,30600,2007-01,370000
Commercial,1709931000,2809 W CARMEN AV,,1,6218,Warehouse Building - 1 Story,,1,1946,0,7580,1,0,0,0,13125,2007-01,50000
Commercial,4000219100,2100 W CLYBOURN ST,,4,6270,Warehouse Building - 1 Story,,1,1986,0,4825,1,0,0,0,21934,2007-01,490000
Commercial,2681230000,3801 N 35TH ST,,7,6242,Warehouse Building - 1 Story,,1,1950,0,3075,1,0,0,0,9560,2007-01,60000
Residential,2851404000,3353 N 24TH PL,,7,2960,AP 1,Frame,2,1913,0,2696,4,4,1,0,5504,2007-02,86900
Residential,4330033000,1009 S 17TH ST,,12,4050,Rm or Rooming House,Frame,2,1889,0,2796,7,7,2,1,6450,2007-02,50000
Commercial,2070654000,5003 N TEUTONIA AV,,1,6232,Billboard,,0,0,0,0,1,0,0,0,7804,2007-02,70000
Commercial,2850108100,2008 W HOPKINS ST,,6,6240,Billboard,,0,0,0,0,1,0,0,0,5495,2007-02,140000
Commercial,5121167000,4328 W FOREST HOME AV,,11,6288,Billboard,,0,0,0,0,1,0,0,0,6745,2007-02,200000
Commercial,2870759100,3812 W BURLEIGH ST,,7,6242,Day Care Center,,2,1940,0,8241,1,0,0,0,12240,2007-02,300000
Commercial,3030574000,7931 W BURLEIGH ST,,5,6226,Day Care Center,,1,1957,0,7200,1,0,0,0,11772,2007-02,400000
Commercial,4330813000,1308 S CESAR E CHAVEZ DR,,12,6277,Medical Clinic,,1,1936,0,7882,1,0,0,0,4012,2007-02,500000
Commercial,320154000,8120 W BROWN DEER RD,,9,6423,Mini Warehouse,,1,2004,0,61667,1,0,0,0,305617,2007-02,7300000
